od_f,od_nf,in_degree_nf,out_degree_f,SCH_DEP_DTMZ_nf
JFKPTY,PTYTGU,12,17,1569946860000000000
MSYPTY,PTYTGU,12,17,1569946860000000000
MIAPTY,PTYTGU,12,14,1569946860000000000
GYEPTY,PTYTPA,16,18,1569939120000000000
MDEPTY,PTYTPA,16,23,1569939120000000000
SJOPTY,PTYTPA,16,16,1569939120000000000
BOGPTY,PTYTPA,16,18,1569939120000000000
SJOPTY,PTYTPA,16,19,1569939120000000000
CLOPTY,PTYTPA,16,28,1569939120000000000
RECPTY,PTYTPA,16,17,1569939120000000000
VVIPTY,PTYTPA,16,23,1569939120000000000
UIOPTY,PTYTPA,16,26,1569939120000000000
EZEPTY,PTYTPA,16,31,1569939120000000000
ASUPTY,PTYTPA,16,21,1569939120000000000
MDEPTY,PTYTPA,16,22,1569939120000000000
PEIPTY,PTYTPA,16,29,1569939120000000000
UIOPTY,PTYTPA,16,21,1569939120000000000
LIMPTY,PTYTPA,16,26,1569939120000000000
LIMPTY,PTYTPA,16,22,1569939120000000000
MDEPTY,PTYUIO,15,23,1569940560000000000
SDQPTY,PTYUIO,15,24,1569940560000000000
SJOPTY,PTYUIO,15,19,1569940560000000000
HAVPTY,PTYUIO,15,9,1569940560000000000
VVIPTY,PTYUIO,15,23,1569940560000000000
CCSPTY,PTYUIO,15,22,1569940560000000000
EZEPTY,PTYUIO,15,31,1569940560000000000
CORPTY,PTYUIO,15,26,1569940560000000000
ASUPTY,PTYUIO,15,21,1569940560000000000
MIAPTY,PTYUIO,15,20,1569940560000000000
PEIPTY,PTYUIO,15,29,1569940560000000000
JFKPTY,PTYUIO,15,17,1569940560000000000
LIMPTY,PTYUIO,15,26,1569940560000000000
POAPTY,PTYUIO,15,24,1569940560000000000
GRUPTY,PTYUIO,15,27,1569940560000000000
SJOPTY,PTYUIO,24,20,1569961980000000000
GRUPTY,PTYUIO,24,25,1569961980000000000
SFOPTY,PTYUIO,24,26,1569961980000000000
MGAPTY,PTYUIO,24,14,1569961980000000000
CUNPTY,PTYUIO,24,21,1569961980000000000
LASPTY,PTYUIO,24,27,1569961980000000000
PAPPTY,PTYUIO,24,12,1569961980000000000
SDQPTY,PTYUIO,24,20,1569961980000000000
EZEPTY,PTYUIO,24,22,1569961980000000000
BOSPTY,PTYUIO,24,25,1569961980000000000
SNUPTY,PTYUIO,24,16,1569961980000000000
MTYPTY,PTYUIO,24,20,1569961980000000000
IADPTY,PTYUIO,24,21,1569961980000000000
HAVPTY,PTYUIO,24,12,1569961980000000000
GUAPTY,PTYUIO,24,14,1569961980000000000
YYZPTY,PTYUIO,24,25,1569961980000000000
GDLPTY,PTYUIO,24,18,1569961980000000000
CCSPTY,PTYUIO,24,19,1569961980000000000
CUNPTY,PTYUIO,24,18,1569961980000000000
MEXPTY,PTYUIO,24,23,1569961980000000000
ORDPTY,PTYUIO,24,27,1569961980000000000
HAVPTY,PTYUIO,24,23,1569961980000000000
YULPTY,PTYUIO,24,21,1569961980000000000
ASUPTY,PTYUIO,24,14,1569961980000000000
MDEPTY,PTYUIO,18,19,1569973980000000000
HAVPTY,PTYUIO,18,8,1569973980000000000
GUAPTY,PTYUIO,18,9,1569973980000000000
SJOPTY,PTYUIO,18,13,1569973980000000000
MIAPTY,PTYUIO,18,7,1569973980000000000
LASPTY,PTYUIO,18,27,1569973980000000000
SDQPTY,PTYUIO,18,20,1569973980000000000
LIMPTY,PTYUIO,18,11,1569973980000000000
EZEPTY,PTYUIO,18,13,1569973980000000000
CUNPTY,PTYUIO,18,7,1569973980000000000
BOSPTY,PTYUIO,18,25,1569973980000000000
SDQPTY,PTYUIO,18,11,1569973980000000000
MEXPTY,PTYUIO,18,8,1569973980000000000
GIGPTY,PTYUIO,18,16,1569973980000000000
MVDPTY,PTYUIO,18,11,1569973980000000000
SAPPTY,PTYUIO,18,13,1569973980000000000
VVIPTY,PTYUIO,18,12,1569973980000000000
TPAPTY,PTYUIO,18,7,1569973980000000000
LIMPTY,PTYVLN,8,26,1569947580000000000
GYEPTY,PTYVLN,8,18,1569947580000000000
SJOPTY,PTYVLN,8,19,1569947580000000000
BOGPTY,PTYVLN,8,23,1569947580000000000
SJOPTY,PTYVLN,8,18,1569947580000000000
SDQPTY,PTYVLN,8,22,1569947580000000000
SCLPTY,PTYVLN,8,23,1569947580000000000
MEXPTY,PTYVLN,8,27,1569947580000000000
SFOPTY,PTYVVI,18,26,1569962160000000000
MGAPTY,PTYVVI,18,14,1569962160000000000
PUJPTY,PTYVVI,18,12,1569962160000000000
BOGPTY,PTYVVI,18,24,1569962160000000000
JFKPTY,PTYVVI,18,22,1569962160000000000
SNUPTY,PTYVVI,18,16,1569962160000000000
CUNPTY,PTYVVI,18,21,1569962160000000000
MCOPTY,PTYVVI,18,19,1569962160000000000
MTYPTY,PTYVVI,18,20,1569962160000000000
IADPTY,PTYVVI,18,21,1569962160000000000
HAVPTY,PTYVVI,18,12,1569962160000000000
MIAPTY,PTYVVI,18,17,1569962160000000000
MDEPTY,PTYVVI,18,19,1569962160000000000
MEXPTY,PTYVVI,18,23,1569962160000000000
ORDPTY,PTYVVI,18,27,1569962160000000000
PUJPTY,PTYVVI,18,10,1569962160000000000
HAVPTY,PTYVVI,18,23,1569962160000000000
MIAPTY,PTYVVI,18,14,1569962160000000000
SCLPTY,PTYYUL,32,12,1569971280000000000
GRUPTY,PTYYUL,32,25,1569971280000000000
SALPTY,PTYYUL,32,12,1569971280000000000
GUAPTY,PTYYUL,32,9,1569971280000000000
SJOPTY,PTYYUL,32,13,1569971280000000000
GYEPTY,PTYYUL,32,9,1569971280000000000
SJOPTY,PTYYUL,32,13,1569971280000000000
CNFPTY,PTYYUL,32,21,1569971280000000000
BOGPTY,PTYYUL,32,13,1569971280000000000
MGAPTY,PTYYUL,32,14,1569971280000000000
UIOPTY,PTYYUL,32,15,1569971280000000000
CLOPTY,PTYYUL,32,13,1569971280000000000
ROSPTY,PTYYUL,32,22,1569971280000000000
BOGPTY,PTYYUL,32,23,1569971280000000000
EZEPTY,PTYYUL,32,13,1569971280000000000
MGAPTY,PTYYUL,32,11,1569971280000000000
SJOPTY,PTYYUL,32,11,1569971280000000000
SDQPTY,PTYYUL,32,11,1569971280000000000
GYEPTY,PTYYUL,32,10,1569971280000000000
GIGPTY,PTYYUL,32,16,1569971280000000000
CURPTY,PTYYUL,32,21,1569971280000000000
MVDPTY,PTYYUL,32,11,1569971280000000000
GRUPTY,PTYYUL,32,24,1569971280000000000
GRUPTY,PTYYUL,32,15,1569971280000000000
SAPPTY,PTYYUL,32,13,1569971280000000000
MDEPTY,PTYYUL,32,19,1569971280000000000
CCSPTY,PTYYUL,32,19,1569971280000000000
PEIPTY,PTYYUL,32,29,1569971280000000000
VVIPTY,PTYYUL,32,12,1569971280000000000
BAQPTY,PTYYUL,32,14,1569971280000000000
POAPTY,PTYYUL,32,24,1569971280000000000
GRUPTY,PTYYUL,32,27,1569971280000000000
MDEPTY,PTYYYZ,28,13,1569971760000000000
SCLPTY,PTYYYZ,28,12,1569971760000000000
CLOPTY,PTYYYZ,28,22,1569971760000000000
GRUPTY,PTYYYZ,28,25,1569971760000000000
DAVPTY,PTYYYZ,28,12,1569971760000000000
GYEPTY,PTYYYZ,28,9,1569971760000000000
CNFPTY,PTYYYZ,28,21,1569971760000000000
BOGPTY,PTYYYZ,28,13,1569971760000000000
UIOPTY,PTYYYZ,28,15,1569971760000000000
RECPTY,PTYYYZ,28,17,1569971760000000000
CLOPTY,PTYYYZ,28,13,1569971760000000000
BOGPTY,PTYYYZ,28,23,1569971760000000000
BZEPTY,PTYYYZ,28,5,1569971760000000000
VLNPTY,PTYYYZ,28,6,1569971760000000000
MDZPTY,PTYYYZ,28,23,1569971760000000000
SDQPTY,PTYYYZ,28,11,1569971760000000000
GYEPTY,PTYYYZ,28,10,1569971760000000000
SCLPTY,PTYYYZ,28,23,1569971760000000000
GIGPTY,PTYYYZ,28,16,1569971760000000000
CURPTY,PTYYYZ,28,21,1569971760000000000
MVDPTY,PTYYYZ,28,11,1569971760000000000
GRUPTY,PTYYYZ,28,24,1569971760000000000
GRUPTY,PTYYYZ,28,15,1569971760000000000
MDEPTY,PTYYYZ,28,19,1569971760000000000
CCSPTY,PTYYYZ,28,19,1569971760000000000
VVIPTY,PTYYYZ,28,12,1569971760000000000
POAPTY,PTYYYZ,28,24,1569971760000000000
GRUPTY,PTYYYZ,28,27,1569971760000000000
